id,name,stream_url,logo,genre,country,language,quality,type,is_active
11_repretel,"11 - Repretel",http://181.188.216.5:18000/play/a0b6/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
13_c,"13 C",http://181.188.216.5:18000/play/a0qj/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
24_horas_tvn,"24 Horas TVN",http://181.188.216.5:18000/play/a0pu/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
4_repretel,"4 Repretel",http://181.188.216.5:18000/play/a0c5/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
6_repretel,"6 - Repretel",http://181.188.216.5:18000/play/a0b5/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
ae,"A&E",http://181.188.216.5:18000/play/a0cb/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
ae,"A&E",http://181.188.216.5:18000/play/a0h1/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
ae_hd,"A&E HD",http://181.188.216.5:18000/play/a0cv/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
ae_hd,"A&E HD",http://181.188.216.5:18000/play/a0h9/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
amc,"AMC",http://181.188.216.5:18000/play/a0h2/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/AMC_logo_2019.svg/512px-AMC_logo_2019.svg.png,General,International,es,HD,tv,true
amc,"AMC",http://181.188.216.5:18000/play/a0ae/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/AMC_logo_2019.svg/512px-AMC_logo_2019.svg.png,General,International,es,HD,tv,true
amc_hd,"AMC HD",http://181.188.216.5:18000/play/a0cw/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/AMC_logo_2019.svg/512px-AMC_logo_2019.svg.png,General,International,es,HD,tv,true
amc_hd,"AMC HD",http://181.188.216.5:18000/play/a0hl/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/AMC_logo_2019.svg/512px-AMC_logo_2019.svg.png,General,International,es,HD,tv,true
atres_series,"ATRES SERIES",http://181.188.216.5:18000/play/a0pv/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
atv,"ATV",http://181.188.216.5:18000/play/a0m3/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/ATV_logo_2020.png/512px-ATV_logo_2020.png,General,Peru,es,HD,tv,true
atv,"ATV",http://181.188.216.5:18000/play/a01q/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/ATV_logo_2020.png/512px-ATV_logo_2020.png,General,Peru,es,HD,tv,true
axn,"AXN",http://181.188.216.5:18000/play/a0pa/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/AXN_logo_%282015%29.svg/512px-AXN_logo_%282015%29.svg.png,General,International,es,HD,tv,true
axn,"AXN",http://181.188.216.5:18000/play/a0ac/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/AXN_logo_%282015%29.svg/512px-AXN_logo_%282015%29.svg.png,General,International,es,HD,tv,true
axn_hd,"AXN HD",http://181.188.216.5:18000/play/a0oq/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/AXN_logo_%282015%29.svg/512px-AXN_logo_%282015%29.svg.png,General,International,es,HD,tv,true
az_click_hd,"AZ click HD",http://181.188.216.5:18000/play/a0d2/index.m3u8,https://cdn-icons-png.flaticon.com/512/1040/1040241.png,General,International,es,HD,tv,true
adult_swim,"Adult Swim",http://181.188.216.5:18000/play/a0a1/index.m3u8,https://cdn-icons-png.flaticon.com/512/742/742751.png,Comedy,International,es,HD,tv,true
adult_swim,"Adult Swim",http://181.188.216.5:18000/play/a0q8/index.m3u8,https://cdn-icons-png.flaticon.com/512/742/742751.png,Comedy,International,es,HD,tv,true
